Date,Weekday numeric,,Open,High,Low,Close,Adj Close,Volume,,,,,
10/30/2020,6,,328.279999,329.690002,322.600006,326.540009,314.553619,120287300,,,,,
11/2/2020,2,,330.200012,332.359985,327.23999,330.200012,318.079407,86068300,,,,,
11/3/2020,3,,333.690002,338.25,330.290009,336.029999,323.695343,93294200,,,,,
11/4/2020,4,,340.859985,347.940002,339.589996,343.540009,330.929688,126959700,,,,,
11/5/2020,5,,349.23999,352.190002,348.859985,350.23999,337.383728,82039700,,,,,
11/6/2020,6,,349.929993,351.51001,347.649994,350.160004,337.306641,74973000,,,,,
11/9/2020,2,,363.970001,364.380005,354.059998,354.559998,341.545135,172304200,,,,,
11/10/2020,3,,353.48999,355.179993,350.51001,354.040009,341.044281,85552000,,,,,
11/11/2020,4,,356.399994,357.559998,355.059998,356.670013,343.577728,58649000,,,,,
11/12/2020,5,,355.579987,356.720001,351.26001,353.209991,340.244659,67546200,,,,,
11/13/2020,6,,355.269989,358.899994,354.709991,358.100006,344.955231,62892200,,,,,
11/16/2020,2,,360.980011,362.779999,359.589996,362.570007,349.261108,74541100,,,,,
11/17/2020,3,,359.970001,361.920013,358.339996,360.619995,347.382629,66111000,,,,,
11/18/2020,4,,360.910004,361.5,356.23999,356.279999,343.201965,70591300,,,,,
11/19/2020,5,,355.600006,358.179993,354.149994,357.779999,344.646942,59940900,,,,,
11/20/2020,6,,357.5,357.720001,355.25,355.329987,342.286865,70417300,,,,,
11/23/2020,2,,357.279999,358.820007,354.869995,357.459991,344.338654,63230600,,,,,
11/24/2020,3,,360.209991,363.809998,359.290009,363.220001,349.887268,62415900,,,,,
11/25/2020,4,,363.130005,363.160004,361.480011,362.660004,349.347839,45330900,,,,,
11/27/2020,6,,363.839996,364.179993,362.579987,363.670013,350.320801,28514100,,,,,
11/30/2020,2,,362.829987,363.119995,359.170013,362.059998,348.769836,83872700,,,,,
12/1/2020,3,,365.570007,367.679993,364.929993,366.019989,352.584473,74231400,,,,,
